Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),Net-Carbs (g),Water (g),Omega 3s (mg),Omega 6s (mg),PRAL score,"Phosphorus, P (mg)",Sodium (mg),"Zinc, Zn (mg)","Copper, Cu (mg)","Selenium, Se (mcg)",Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin B6 (mg),Folate (B9) (mcg),Folic acid (mcg),Food Folate (mcg),Retinol (mcg),"Carotene, beta (mcg)","Carotene, alpha (mcg)",Lycopene (mcg),Lutein + Zeaxanthin (mcg),"Fatty acids, total monounsaturated (mg)","Fatty acids, total polyunsaturated (mg)",20:5 n-3 (EPA) (mg),22:5 n-3 (DPA) (mg),22:6 n-3 (DHA) (mg),Caffeine (mg),Theobromine (mg),Price per Weight (£/100Gram),GHG(kgco3eq/100g)
64.0,0.43,1.18,15.67,10.67,5.0,0.015,29.0,0.8,140.0,22.0,10.67,82.21,82.0,163.0,-2.221,30.0,1.0,0.25,0.12,0.4,0.028999999999999998,0.046,1.207,0.061,34.0,0.0,34.0,0.0,68.0,0.0,0.0,118.0,41.0,245.0,0.0,0.0,0.0,0.0,0.0,0.571428571,0.1214
23.0,0.8,1.16,2.72,1.68,0.0,0.46799999999999997,40.0,0.1,123.0,57.0,2.72,94.94,10.0,85.0,-2.7510000000000003,35.0,24.0,0.17,0.038,1.0,0.012,0.17800000000000002,3.52,0.012,2.0,0.0,2.0,17.0,1.0,0.0,0.0,0.0,178.0,95.0,0.0,0.0,0.0,142.0,0.0,0.772727273,1.6477
106.0,3.77,14.81,2.2,0.91,0.0,0.9059999999999999,14.0,0.42,371.0,19.0,2.2,75.98,64.0,911.0,7.96,249.0,898.0,0.94,0.024,13.0,0.038,0.145,7.15,0.41,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1145.0,1024.0,2.0,6.0,5.0,0.0,0.0,0.763157895,0.6092
160.0,8.29,21.31,0.0,0.0,0.0,3.605,15.0,2.27,371.0,22.0,0.0,69.48,14.0,335.0,9.277000000000001,201.0,70.0,8.41,0.07400000000000001,22.9,0.07,0.16699999999999998,4.803,0.34600000000000003,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,4088.0,359.0,0.0,0.0,0.0,0.0,0.0,1.718061674,5.957000000000001
61.0,3.25,3.15,4.8,5.05,0.0,1.865,113.0,0.03,132.0,10.0,4.8,88.13,75.0,120.0,0.134,84.0,43.0,0.37,0.025,3.7,0.046,0.16899999999999998,0.08900000000000001,0.036000000000000004,5.0,0.0,5.0,45.0,7.0,0.0,0.0,0.0,812.0,195.0,0.0,0.0,0.0,0.0,0.0,0.061235955,0.2781
289.0,10.8,2.6,48.0,28.31,2.6,2.682,22.0,1.49,203.0,14.0,45.4,37.4,180.0,2661.0,-2.11,42.0,254.0,0.22,0.113,6.6,0.15,0.105,1.189,0.065,23.0,18.0,5.0,0.0,5.0,0.0,0.0,13.0,4654.0,2842.0,0.0,0.0,0.0,0.0,0.0,0.75,0.1441
237.0,11.0,1.9,34.0,15.65,1.6,3.7969999999999997,11.0,0.45,65.0,7.0,32.4,52.2,123.0,2066.0,0.12,24.0,201.0,0.16,0.046,1.0,0.027999999999999997,0.027000000000000003,0.263,0.038,27.0,23.0,4.0,31.0,9.0,0.0,0.0,9.0,4388.0,2198.0,0.0,0.0,0.0,0.0,0.0,0.239463602,0.1441
321.0,7.37,10.04,53.58,15.38,3.1,3.516,62.0,2.74,149.0,24.0,50.48,27.83,55.0,802.0,5.038,127.0,253.0,0.85,0.09699999999999999,8.5,0.48,0.327,3.787,0.11,91.0,51.0,40.0,40.0,0.0,0.0,0.0,15.0,1851.0,855.0,5.0,4.0,6.0,0.0,0.0,1.0,0.1441
154.0,7.06,21.17,0.0,0.0,0.0,2.1319999999999997,27.0,1.54,323.0,22.0,0.0,71.33,25.0,230.0,9.769,193.0,54.0,3.92,0.069,24.1,0.059000000000000004,0.10400000000000001,7.17,0.581,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,3045.0,288.0,0.0,0.0,0.0,0.0,0.0,1.246875,5.957000000000001
395.0,5.3,13.35,71.98,6.2,4.5,1.203,183.0,4.83,196.0,43.0,67.48,6.51,186.0,1874.0,5.001,165.0,732.0,1.45,0.255,25.2,0.9670000000000001,0.40299999999999997,6.6339999999999995,0.121,107.0,82.0,25.0,0.0,0.0,0.0,0.0,0.0,1023.0,2060.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1441
511.0,29.07,8.83,53.2,4.0,3.8,8.264,157.0,3.92,135.0,24.0,49.4,6.25,629.0,7587.0,7.02,222.0,794.0,0.57,0.11199999999999999,24.0,0.41100000000000003,0.273,4.281000000000001,0.057,66.0,55.0,11.0,0.0,0.0,0.0,0.0,8.0,10317.0,8219.0,0.0,0.0,0.0,0.0,0.0,0.13636363599999998,0.1441
316.0,20.41,27.35,2.67,0.26,0.0,12.602,761.0,0.12,63.0,27.0,2.67,44.29,77.0,876.0,20.709,520.0,628.0,4.44,0.043,35.8,0.021,0.397,0.145,0.084,20.0,0.0,20.0,142.0,28.0,0.0,0.0,4.0,5304.0,893.0,6.0,10.0,0.0,0.0,0.0,0.74,2.124
15.0,0.5,1.1,2.4,1.06,1.6,0.067,33.0,2.5,151.0,14.0,0.8,94.3,137.0,104.0,-2.556,24.0,498.0,0.22,0.024,0.5,0.01,0.21,1.1,0.213,52.0,0.0,52.0,0.0,55.0,1.0,0.0,49.0,37.0,241.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5752
325.0,7.61,40.44,41.22,0.0,26.9,1.001,30.0,2.17,955.0,54.0,14.32,5.08,0.0,17.0,21.424,637.0,51.0,7.94,0.436,7.9,10.99,4.0,40.2,1.5,2340.0,0.0,2340.0,0.0,0.0,0.0,0.0,0.0,4309.0,17.0,0.0,0.0,0.0,0.0,0.0,1.517857143,0.1441
450.0,18.1,6.2,68.7,24.66,2.8,4.519,37.0,2.58,142.0,33.0,65.9,5.7,129.0,2413.0,3.799,138.0,520.0,0.79,0.134,9.8,0.267,0.23,2.227,0.066,59.0,52.0,7.0,5.0,0.0,0.0,0.0,31.0,10025.0,2543.0,0.0,0.0,0.0,0.0,0.0,0.380952381,0.1441
116.0,2.45,23.59,0.0,0.0,0.0,0.92,13.0,2.34,316.0,12.0,0.0,73.4,16.0,164.0,12.547,220.0,55.0,3.54,0.047,22.7,0.064,0.25,6.155,0.626,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1003.0,210.0,2.0,9.0,2.0,0.0,0.0,1.392156863,5.957000000000001
654.0,65.21,15.23,13.71,2.61,6.7,6.126,98.0,2.91,441.0,158.0,7.01,4.07,9080.0,38093.0,5.53,346.0,2.0,3.09,1.5859999999999999,4.9,0.341,0.15,1.125,0.537,98.0,0.0,98.0,0.0,12.0,0.0,0.0,9.0,8933.0,47174.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0278
198.0,19.35,2.44,4.63,3.41,0.0,10.14,101.0,0.07,125.0,10.0,4.63,73.07,87.0,762.0,-0.20600000000000002,76.0,31.0,0.33,0.018000000000000002,3.7,0.02,0.168,0.09300000000000001,0.040999999999999995,6.0,0.0,6.0,121.0,25.0,0.0,0.0,4.0,4594.0,800.0,6.0,11.0,1.0,0.0,0.0,0.358306189,4.2773
91.0,0.41,0.58,21.15,18.27,1.0,0.067,61.0,0.25,100.0,7.0,20.15,76.2,60.0,46.0,-2.137,18.0,457.0,0.12,0.027999999999999997,0.0,0.025,0.03,0.115,0.024,1.0,0.0,1.0,0.0,325.0,81.0,0.0,170.0,4.0,106.0,0.0,0.0,0.0,0.0,0.0,0.187777778,0.0455
280.0,10.1,4.36,45.06,28.16,2.1,1.483,33.0,1.38,156.0,24.0,42.96,39.63,3.0,4338.0,0.264,67.0,134.0,0.53,0.21600000000000003,7.4,0.168,0.132,1.3559999999999999,0.08199999999999999,31.0,17.0,14.0,44.0,404.0,0.0,0.0,60.0,2897.0,5200.0,0.0,1.0,2.0,0.0,0.0,0.26666666699999997,0.1441
160.0,0.0,0.2,13.69,7.78,0.0,0.0,8.0,0.24,92.0,9.0,13.69,70.51,0.0,0.0,-1.851,9.0,9.0,0.07,0.045,0.5,0.018000000000000002,0.018000000000000002,0.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.1585
257.0,16.67,17.74,9.42,7.76,0.2,3.89,32.0,0.84,265.0,20.0,9.22,54.96,236.0,2616.0,9.3,193.0,660.0,1.22,0.059000000000000004,28.9,0.064,0.133,5.722,0.17600000000000002,6.0,0.0,6.0,20.0,29.0,0.0,1001.0,19.0,6773.0,2891.0,0.0,0.0,0.0,0.0,0.0,0.571428571,0.6092
286.0,6.7,10.2,46.21,3.4,4.8,2.907,59.0,1.73,185.0,68.0,41.41,34.9,35.0,1222.0,5.495,188.0,467.0,1.24,0.158,11.4,0.17600000000000002,0.18,3.58,0.128,16.0,0.0,16.0,2.0,0.0,0.0,0.0,11.0,1946.0,1258.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.1441
232.0,14.71,23.26,0.0,0.0,0.0,4.111000000000001,9.0,1.08,253.0,22.0,0.0,61.96,145.0,2768.0,13.356,216.0,102.0,1.73,0.063,25.3,0.08800000000000001,0.19,5.789,0.414,4.0,0.0,4.0,16.0,0.0,0.0,0.0,17.0,6257.0,2993.0,6.0,10.0,5.0,0.0,0.0,0.666666667,0.6092
52.0,0.3,0.44,12.37,10.33,0.6,0.055,11.0,0.32,184.0,13.0,11.77,86.6,10.0,14.0,-3.56,16.0,5.0,0.07,0.038,0.4,0.035,0.053,0.287,0.075,24.0,0.0,24.0,0.0,9.0,4.0,0.0,25.0,20.0,48.0,0.0,0.0,0.0,0.0,0.0,0.5053333329999999,0.075
130.0,0.28,2.69,28.17,0.05,0.4,0.077,10.0,1.2,35.0,12.0,27.77,68.44,13.0,62.0,1.725,43.0,1.0,0.49,0.069,7.5,0.163,0.013000000000000001,1.476,0.09300000000000001,58.0,55.0,3.0,0.0,0.0,0.0,0.0,0.0,88.0,76.0,0.0,0.0,0.0,0.0,0.0,0.12,0.3839
